instance_id,node_id,x,y,cpu,memory,neighbors
0,0,0.639427,0.025011,0.1092,0.6324,4;9;20
0,1,0.275029,0.223211,0.6454,0.5222,11;21;22;23;25;29;33;34;39;42
0,2,0.736471,0.676699,0.3135,0.5846,7;10;14;15;18;19;27;31;32
0,3,0.892180,0.086939,0.1892,0.4609,9;20
0,4,0.421922,0.029797,0.4630,0.7723,0;11;25;33;42
0,5,0.218638,0.505355,0.8007,0.3580,8;17;21;29;45;47
0,6,0.026536,0.198838,0.5005,0.3072,13;22;23;44;47
0,7,0.649884,0.544941,0.8301,0.7223,2;10;14;18;19;24;27;31;37;46
0,8,0.220441,0.589266,0.3388,0.5834,5;17;28;29;45
0,9,0.809430,0.006499,0.5872,0.2917,0;3;20
0,10,0.805819,0.698139,0.7100,0.5236,2;7;14;15;18;19;27;30;32
0,11,0.340251,0.155479,0.7229,0.5182,1;4;21;25;33;34;39;42
0,12,0.957213,0.336595,0.1005,0.3945,36;38;43;46;48
0,13,0.092746,0.096716,0.1156,0.7575,6;22;23;33;44
0,14,0.847494,0.603726,0.8030,0.6990,2;7;10;15;18;19;27;30;32;38;43;46;48
0,15,0.807128,0.729732,0.3460,0.2348,2;10;14;18;19;27;30;32;49
0,16,0.536228,0.973116,0.8024,0.7682,41
0,17,0.378534,0.552041,0.1685,0.4916,5;8
0,18,0.829405,0.618520,0.1554,0.6564,2;7;10;14;15;19;27;30;32;38;43;46;48
0,19,0.861707,0.577352,0.7127,0.2770,2;7;10;14;15;18;27;30;32;38;43;46;48
0,20,0.704572,0.045824,0.4802,0.5299,0;3;9
0,21,0.227898,0.289388,0.3120,0.7235,1;5;11;22;23;25;29;34;39;42;47
0,22,0.079792,0.232791,0.4385,0.3271,1;6;13;21;23;29;39;44;47
0,23,0.101001,0.277974,0.5314,0.6380,1;6;13;21;22;29;34;39;47
0,24,0.635684,0.364832,0.2609,0.3870,7;37;40;46
0,25,0.370181,0.209507,0.8961,0.5899,1;4;11;21;34;39;40;42
0,26,0.266978,0.936655,0.4505,0.5105,35
0,27,0.648035,0.609131,0.1968,0.3348,2;7;10;14;15;18;19;31;37
0,28,0.171139,0.729127,0.3705,0.5530,8;35;45
0,29,0.163402,0.379455,0.2841,0.3321,1;5;8;21;22;23;34;39;47
0,30,0.989523,0.640000,0.1568,0.5787,10;14;15;18;19;32;38;43;48
0,31,0.556950,0.684614,0.2832,0.7433,2;7;27;41
0,32,0.842852,0.776000,0.7877,0.2425,2;10;14;15;18;19;30;49
0,33,0.229048,0.032100,0.2904,0.6014,1;4;11;13;39;44
0,34,0.315453,0.267741,0.2714,0.2794,1;11;21;23;25;29;39;42
0,35,0.210983,0.942910,0.8484,0.5426,26;28
0,36,0.876368,0.314678,0.4781,0.6708,12;38;46
0,37,0.655439,0.395632,0.7460,0.3142,7;24;27;40;46
0,38,0.914548,0.458852,0.1775,0.4586,12;14;18;19;30;36;43;46;48
0,39,0.264880,0.246628,0.4389,0.4802,1;11;21;22;23;25;29;33;34;42
0,40,0.561368,0.262742,0.6833,0.6040,24;25;37;42
0,41,0.584586,0.897823,0.8873,0.2591,16;31
0,42,0.399401,0.219321,0.4221,0.4036,1;4;11;21;25;34;39;40
0,43,0.997538,0.509526,0.7893,0.3492,12;14;18;19;30;38;48
0,44,0.090909,0.047116,0.2522,0.4692,6;13;22;33
0,45,0.109649,0.627446,0.4375,0.3671,5;8;28
0,46,0.792079,0.422160,0.2998,0.7540,7;12;14;18;19;24;36;37;38
0,47,0.063528,0.381619,0.4545,0.7168,5;6;21;22;23;29
0,48,0.996121,0.529114,0.5403,0.2304,12;14;18;19;30;38;43
0,49,0.971078,0.860780,0.8994,0.7016,15;32
1,0,0.968996,0.926367,0.8231,0.5274,7;27;30
1,1,0.848696,0.166311,0.7677,0.5495,18;35;40;43
1,2,0.485641,0.213747,0.2185,0.2765,3;6;24;31;41;44;46;48
1,3,0.401040,0.058635,0.3466,0.7394,2;17;31;44;48
1,4,0.378973,0.985309,0.7369,0.7164,13;21;29;42
1,5,0.265203,0.784071,0.8191,0.3260,14;22;25;29;39;49
1,6,0.455008,0.423007,0.2996,0.2617,2;20;23;44
1,7,0.957318,0.995423,0.7241,0.7305,0;27;30
1,8,0.555768,0.718408,0.4251,0.5724,11;13;16;19;20;21;42
1,9,0.154797,0.296708,0.2236,0.7579,15;17;23;26;28;37
1,10,0.968709,0.579180,0.7917,0.7857,32
1,11,0.542195,0.747976,0.7486,0.7288,8;13;16;19;20;21;42
1,12,0.057165,0.584178,0.1198,0.6419,22;26;38;39;45
1,13,0.502850,0.852720,0.3657,0.7585,4;8;11;16;21;25;33;36;42
1,14,0.157433,0.960779,0.7418,0.7184,5;29;49
1,15,0.080111,0.185825,0.7486,0.3601,9;17;28;37
1,16,0.595035,0.675213,0.7299,0.2649,8;11;13;19;20;47
1,17,0.235204,0.119887,0.7977,0.7152,3;9;15;28;31;37
1,18,0.890287,0.246215,0.2779,0.6900,1;35;40;43
1,19,0.594519,0.619382,0.4682,0.3831,8;11;16;20;47
1,20,0.419225,0.583672,0.7363,0.3366,6;8;11;16;19;25;39
1,21,0.522783,0.934706,0.1189,0.3159,4;8;11;13;33;36;42
1,22,0.204259,0.716192,0.3626,0.7186,5;12;25;38;39;45;49
1,23,0.238686,0.395786,0.8735,0.3675,6;9;26;38;39;44
1,24,0.671690,0.299997,0.6132,0.4398,2;35;40;41;46
1,25,0.316177,0.751864,0.8849,0.5217,5;13;20;22;29;39
1,26,0.072543,0.458286,0.8514,0.2692,9;12;23;38
1,27,0.998454,0.996096,0.8763,0.3071,0;7;30
1,28,0.073261,0.213154,0.8700,0.3593,9;15;17;37
1,29,0.265200,0.933259,0.1867,0.4607,4;5;14;25;49
1,30,0.880864,0.879270,0.6828,0.3882,0;7;27;32
1,31,0.369527,0.157747,0.5850,0.5069,2;3;17;44;48
1,32,0.833745,0.703540,0.4082,0.5460,10;30;47
1,33,0.611678,0.987233,0.3038,0.6253,13;21;36;42
1,34,0.653976,0.007823,0.1014,0.7553,40;43
1,35,0.817104,0.299379,0.5308,0.6317,1;18;24;40;41;43;46
1,36,0.663389,0.938930,0.6936,0.6024,13;21;33;42
1,37,0.134291,0.115429,0.3914,0.2420,9;15;17;28
1,38,0.107036,0.553224,0.6314,0.3981,12;22;23;26;39
1,39,0.272348,0.604830,0.3511,0.7088,5;12;20;22;23;25;38
1,40,0.717612,0.203597,0.6758,0.3802,1;18;24;34;35;41;43;46
1,41,0.634238,0.263984,0.3474,0.4450,2;24;35;40;44;46
1,42,0.488532,0.905336,0.4219,0.3774,4;8;11;13;21;33;36
1,43,0.846104,0.092298,0.2018,0.4523,1;18;34;35;40
1,44,0.423576,0.276680,0.8523,0.6064,2;3;6;23;31;41;46
1,45,0.003546,0.771119,0.8222,0.5693,12;22;49
1,46,0.637113,0.261955,0.3408,0.5288,2;24;35;40;41;44
1,47,0.741231,0.551680,0.1003,0.3721,16;19;32
1,48,0.427687,0.009670,0.4439,0.5480,2;3;31
1,49,0.075244,0.883106,0.6238,0.4790,5;14;22;29;45
2,0,0.442160,0.213701,0.5978,0.2162,12;17;26;29;31;32;36;40;46;48;49
2,1,0.473186,0.901181,0.4152,0.5386,19;20;21;37;41;43
2,2,0.796025,0.169691,0.1217,0.5856,6;9;13;29;34
2,3,0.084796,0.515452,0.2086,0.4770,8;11;15;27
2,4,0.632941,0.335188,0.1402,0.4275,6;12;23;26;29;32
2,5,0.818423,0.751138,0.2693,0.3961,14;22;24;25;39;42
2,6,0.672796,0.224641,0.7090,0.4275,2;4;12;13;26;29;32;34
2,7,0.199130,0.024425,0.7016,0.6992,40;45
2,8,0.244843,0.475136,0.3018,0.2491,3;15;27;31;33;35
2,9,0.849738,0.072828,0.1155,0.5237,2;13;34
2,10,0.414441,0.629765,0.8999,0.4100,19;27;33;35;38;41;43;44;47
2,11,0.194435,0.696354,0.6201,0.6687,3;18;27;33;41;47
